time,measurement,field,value,result,table,datacenter,host
2025-09-04 16:26:59.046290+00:00,system_metrics,cpu_usage,61.79826248306856,_result,0,dc-1,server-1
2025-09-04 16:27:29.046290+00:00,system_metrics,cpu_usage,34.42340687435257,_result,0,dc-1,server-1
2025-09-04 16:27:59.046290+00:00,system_metrics,cpu_usage,36.727662594590164,_result,0,dc-1,server-1
2025-09-04 16:28:29.046290+00:00,system_metrics,cpu_usage,46.04817685312196,_result,0,dc-1,server-1
2025-09-04 16:28:59.046290+00:00,system_metrics,cpu_usage,68.80236962962448,_result,0,dc-1,server-1
2025-09-04 16:29:29.046290+00:00,system_metrics,cpu_usage,43.700397525312695,_result,0,dc-1,server-1
2025-09-04 16:29:59.046290+00:00,system_metrics,cpu_usage,38.23382488277393,_result,0,dc-1,server-1
2025-09-04 16:30:29.046290+00:00,system_metrics,cpu_usage,41.75572604308541,_result,0,dc-1,server-1
2025-09-04 16:30:59.046290+00:00,system_metrics,cpu_usage,33.854169482000614,_result,0,dc-1,server-1
2025-09-04 16:31:29.046290+00:00,system_metrics,cpu_usage,74.06626609488933,_result,0,dc-1,server-1
2025-09-04 16:31:59.046290+00:00,system_metrics,cpu_usage,70.45507882814468,_result,0,dc-1,server-1
2025-09-04 16:32:29.046290+00:00,system_metrics,cpu_usage,49.681803657886114,_result,0,dc-1,server-1
2025-09-04 16:32:59.046290+00:00,system_metrics,cpu_usage,31.91130584636899,_result,0,dc-1,server-1
2025-09-04 16:33:29.046290+00:00,system_metrics,cpu_usage,27.896952683136522,_result,0,dc-1,server-1
2025-09-04 16:33:59.046290+00:00,system_metrics,cpu_usage,21.69598102432856,_result,0,dc-1,server-1
2025-09-04 16:34:29.046290+00:00,system_metrics,cpu_usage,44.57083545238976,_result,0,dc-1,server-1
2025-09-04 16:34:59.046290+00:00,system_metrics,cpu_usage,70.64039423669814,_result,0,dc-1,server-1
2025-09-04 16:35:29.046290+00:00,system_metrics,cpu_usage,58.5976898858152,_result,0,dc-1,server-1
2025-09-04 16:35:59.046290+00:00,system_metrics,cpu_usage,40.812693259183014,_result,0,dc-1,server-1
2025-09-04 16:36:29.046290+00:00,system_metrics,cpu_usage,26.04334763763925,_result,0,dc-1,server-1
2025-09-04 16:36:59.046290+00:00,system_metrics,cpu_usage,22.33743099337777,_result,0,dc-1,server-1
2025-09-04 16:37:29.046290+00:00,system_metrics,cpu_usage,35.96319235432605,_result,0,dc-1,server-1
2025-09-04 16:37:59.046290+00:00,system_metrics,cpu_usage,43.758100410589606,_result,0,dc-1,server-1
2025-09-04 16:38:29.046290+00:00,system_metrics,cpu_usage,35.12555399716673,_result,0,dc-1,server-1
2025-09-04 16:38:59.046290+00:00,system_metrics,cpu_usage,70.03167194305237,_result,0,dc-1,server-1
2025-09-04 16:39:29.046290+00:00,system_metrics,cpu_usage,32.369138565364985,_result,0,dc-1,server-1
2025-09-04 16:39:59.046290+00:00,system_metrics,cpu_usage,52.47177912017898,_result,0,dc-1,server-1
2025-09-04 16:40:29.046290+00:00,system_metrics,cpu_usage,30.74523563595072,_result,0,dc-1,server-1
2025-09-04 16:40:59.046290+00:00,system_metrics,cpu_usage,62.4574407391727,_result,0,dc-1,server-1
2025-09-04 16:41:29.046290+00:00,system_metrics,cpu_usage,72.16465789882812,_result,0,dc-1,server-1
2025-09-04 16:41:59.046290+00:00,system_metrics,cpu_usage,48.861152351851985,_result,0,dc-1,server-1
2025-09-04 16:42:29.046290+00:00,system_metrics,cpu_usage,57.11928487450549,_result,0,dc-1,server-1
2025-09-04 16:42:59.046290+00:00,system_metrics,cpu_usage,78.14602386462117,_result,0,dc-1,server-1
2025-09-04 16:43:29.046290+00:00,system_metrics,cpu_usage,61.03346473528737,_result,0,dc-1,server-1
2025-09-04 16:43:59.046290+00:00,system_metrics,cpu_usage,63.74113739353324,_result,0,dc-1,server-1
2025-09-04 16:44:29.046290+00:00,system_metrics,cpu_usage,32.249702743555375,_result,0,dc-1,server-1
